post_id,source_url,trend_scope,title,topic_tags,content_type,like_count,favorite_count,comment_count,author_follower_count,illustration_relevance,published_at,interaction_snapshot_at,source_type,is_mock,collected_at,valid_until,availability_status,quality_status,pipeline_version
XHS-001,mock://xhs/XHS-001,illustration,把宠物画成打工人,"宠物,拟人,插画",image,12800,7600,684,42000,0.94,2026-08-31,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-002,mock://xhs/XHS-002,illustration,OC头像设定避坑清单,"OC,头像,教程",image,6200,5100,328,18000,0.91,2026-08-30,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-003,mock://xhs/XHS-003,illustration,从草图到成稿的立绘过程,"立绘,绘画过程",video,9300,3400,411,26000,0.88,2026-08-29,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-004,mock://xhs/XHS-004,mass,开学季桌面改造,"开学季,桌面",video,48000,21000,2350,190000,0.28,2026-08-31,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-005,mock://xhs/XHS-005,illustration,情侣头像怎样避免模板感,"情侣头像,约稿",image,7100,5600,506,22000,0.92,2026-08-28,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-006,mock://xhs/XHS-006,illustration,九宫格表情包制作记录,"表情包,接稿",video,4100,2600,219,15000,0.86,2026-08-30,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-007,mock://xhs/XHS-007,mass,秋日氛围感配色,"秋天,配色",image,33000,18000,1460,120000,0.55,2026-08-27,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-008,mock://xhs/XHS-008,illustration,绘本角色如何统一风格,"绘本,角色设计",image,2800,3300,176,12000,0.84,2026-08-26,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-009,mock://xhs/XHS-009,illustration,像素风头像挑战,"像素画,头像",video,15600,8200,907,36000,0.9,2026-08-31,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-010,mock://xhs/XHS-010,mass,周末城市散步路线,"城市,周末",image,52000,31000,1880,260000,0.12,2026-08-31,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-011,mock://xhs/XHS-011,illustration,商业插画报价怎么拆,"商业插画,报价",image,5400,6900,742,17000,0.8,2026-08-25,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,complete,mock-v1
XHS-012,mock://xhs/XHS-012,illustration,新手约稿主页怎么写,"约稿,主页优化",image,3600,4200,391,,0.93,2026-08-30,2026-09-01T00:00:00+08:00,mock,true,2026-09-01T00:00:00+08:00,2026-09-30T23:59:59+08:00,available,partial,mock-v1
